adm_level,date,count_ovi,mean_ovi,error_ovi,error_relative_ovi
Isabela,2019-05-01,0.0,,,
Isabela,2019-06-01,0.0,,,
Isabela,2019-07-01,0.0,,,
Isabela,2019-08-01,0.0,,,
Isabela,2019-09-01,0.0,,,
Isabela,2019-10-01,0.0,,,
Isabela,2019-11-01,0.0,,,
Isabela,2019-12-01,0.0,,,
"NCR, Fourth District",2012-01-01,0.0,,,
"NCR, Fourth District",2012-02-01,0.0,,,
"NCR, Fourth District",2012-03-01,0.0,,,
"NCR, Fourth District",2012-04-01,0.0,,,
"NCR, Fourth District",2012-05-01,0.0,,,
"NCR, Fourth District",2012-06-01,76.0,15.252500000000001,1.657132720920013,0.10864662979314951
"NCR, Fourth District",2012-07-01,286.0,21.142377622377644,1.1212770336584066,0.05303457603896062
"NCR, Fourth District",2012-08-01,113.0,32.230973451327436,2.295038484220601,0.07120599344249963
"NCR, Fourth District",2012-09-01,184.0,29.42630434782609,1.6443370043292858,0.05587983407269977
"NCR, Fourth District",2012-10-01,164.0,29.690609756097558,1.9245881894066845,0.06482144372300848
"NCR, Fourth District",2012-11-01,147.0,27.96625850340136,1.8803015892302957,0.0672346495331725
"NCR, Fourth District",2012-12-01,56.0,25.14696428571429,3.1786632402434796,0.12640345785392643
"NCR, Fourth District",2013-01-01,22.0,12.033636363636363,1.8811838572381174,0.15632713174903146
"NCR, Fourth District",2013-02-01,26.0,11.608461538461539,1.7408914002736227,0.14996745214735335
"NCR, Fourth District",2013-03-01,0.0,,,
"NCR, Fourth District",2013-04-01,1.0,0.0,0.0,
"NCR, Fourth District",2013-05-01,0.0,,,
"NCR, Fourth District",2013-06-01,5.0,42.164,12.96798784700232,0.3075606642396907
"NCR, Fourth District",2013-07-01,184.0,19.575869565217406,1.5011859408859332,0.07668553041205663
"NCR, Fourth District",2013-08-01,124.0,28.229677419354836,1.8981275343131576,0.06723872561900984
"NCR, Fourth District",2013-09-01,127.0,24.09700787401574,1.9085583289738108,0.07920312509138719
"NCR, Fourth District",2013-10-01,145.0,23.492137931034485,1.7939576511417312,0.07636417155425469
"NCR, Fourth District",2013-11-01,98.0,19.63306122448979,1.7657090457252123,0.08993549327512466
"NCR, Fourth District",2013-12-01,84.0,19.174880952380942,1.7917984170356893,0.09344508690747319
"NCR, Fourth District",2014-01-01,58.0,16.274655172413787,1.9224086626731802,0.11812285067223681
"NCR, Fourth District",2014-02-01,67.0,14.274776119402983,1.6948453078171088,0.11873007980232987
"NCR, Fourth District",2014-03-01,47.0,16.792127659574465,2.3777483430746273,0.14159899157977712
"NCR, Fourth District",2014-04-01,0.0,,,
"NCR, Fourth District",2014-05-01,0.0,,,
"NCR, Fourth District",2014-06-01,8.0,10.10875,7.577308525603765,0.7495791789888725
"NCR, Fourth District",2014-07-01,63.0,13.074920634920636,2.118271837935602,0.1620103017893737
"NCR, Fourth District",2014-08-01,135.0,18.237925925925918,1.4866077719840625,0.08151188781125555
"NCR, Fourth District",2014-09-01,196.0,19.124183673469386,1.2229213527369203,0.06394632961162446
