adm_level,date,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,.DS_Store,MODIS_006_MYD13A1_EVI,JAXA_GPM_L3_GSMaP_v6_reanalysis_hourlyPrecipRate,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRate,MODIS_006_MOD11A1_LST_Day_1km,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,MODIS_006_MOD11A1_LST_Night_1km
Masbate,2012-09-01,299.8273010253906,,4808.0,275.8121685809456,,15013.0,5.40349006652832,0.01807510480284691,14822.0
Masbate,2012-10-01,299.7352294921875,,4720.0,222.55514622060582,,15049.0,5.926515579223633,0.01765715517103672,14784.0
Masbate,2012-11-01,299.906005859375,,4928.0,97.50392355164513,,,5.820168495178223,0.01782781258225441,14823.0
Masbate,2012-12-01,299.4656982421875,,4593.0,132.66131261363626,,15069.0,6.353113651275635,0.01731705106794834,14793.0
Masbate,2013-01-01,298.25439453125,,4581.0,137.04012184217572,,14901.0,7.447160720825195,0.01668398454785347,14711.0
Masbate,2013-02-01,298.70458984375,,4519.5,183.63392095640302,,15023.5,7.509517192840576,0.016886727884411812,14778.0
Masbate,2013-03-01,299.31866455078125,,4574.5,29.306873789988458,,15162.0,5.869081020355225,0.016789544373750687,14813.5
Masbate,2013-04-01,300.85491943359375,,4049.0,4.035628621000797,,15267.5,4.793093681335449,0.017230641096830368,14855.0
Masbate,2013-05-01,301.511962890625,,4235.5,65.08830369729549,,15252.5,3.4452924728393555,0.017862556502223015,14893.0
Masbate,2013-06-01,300.84832763671875,,4704.0,409.3033464802429,,15141.0,4.132602214813232,0.0180429145693779,0.0
Masbate,2013-07-01,300.18377685546875,,5116.0,207.4146907106042,,15124.0,3.8780784606933594,0.017919477075338364,0.0
Masbate,2013-08-01,300.0645446777344,,5140.0,289.12082086876035,,15113.0,5.699777603149414,0.017858687788248062,0.0
Masbate,2013-09-01,300.197998046875,,4869.5,127.87576442863792,,,5.74451208114624,0.018170006573200226,
Masbate,2013-10-01,299.94012451171875,,5191.0,94.63908975245431,,15088.0,5.724448204040527,0.017472993582487106,14721.0
Masbate,2013-11-01,299.6697692871094,,4850.5,153.887530494947,,15040.0,7.034038543701172,0.018068425357341766,14781.5
Masbate,2013-12-01,299.47998046875,,4507.0,117.95007018139586,,15028.0,5.743931770324707,0.018228385597467422,14749.0
Masbate,2014-01-01,297.259033203125,,3905.0,160.63391463272274,,14954.0,9.090229034423828,0.015288402326405048,
Masbate,2014-02-01,298.14581298828125,,4185.0,0.5532131846994162,,,6.349605083465576,0.015116609632968903,
Masbate,2014-03-01,298.67340087890625,,4123.5,,82.85279804235324,15178.5,6.907296180725098,0.016012292355298996,
Masbate,2014-04-01,299.88702392578125,,4374.0,,203.49127178359777,15229.0,5.401354789733887,0.017260629683732986,14806.0
Masbate,2014-05-01,301.57568359375,,4271.0,,5.657262010499835,15300.0,4.326769828796387,0.018013063818216324,14871.5
Masbate,2014-06-01,301.5126953125,,4229.5,,175.91723746340722,15134.0,4.034191608428955,0.018255244940519333,14875.5
Masbate,2014-07-01,300.11700439453125,,3307.5,,510.23700426425785,14993.0,7.036718368530273,0.018322881311178207,0.0
Masbate,2014-08-01,300.26397705078125,,5113.5,,162.64254416897893,15174.0,4.511338710784912,0.01781875267624855,14852.0
Masbate,2014-09-01,300.1590881347656,,5293.0,,562.3655033214018,15105.0,5.181227207183838,0.018096379935741425,14820.0
Masbate,2014-10-01,300.07000732421875,,5395.5,,224.89525404712185,15076.0,4.803191661834717,0.01831914857029915,14822.0
Masbate,2014-11-01,299.7081298828125,,5003.5,,105.73696010373533,15034.0,5.793076515197754,0.01790245994925499,14811.0
Masbate,2014-12-01,299.03253173828125,,4639.5,,547.3237089011818,15040.0,7.957563877105713,0.01807517558336258,14806.0
Masbate,2015-01-01,297.9549255371094,,4684.0,,204.50832032319158,15015.0,7.375879287719727,0.016162453219294548,14726.0
