adm_level,date,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRateGC,MODIS_006_MOD11A1_LST_Day_1km,MODIS_006_MOD11A1_LST_Night_1km,MODIS_006_MYD13A1_EVI,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Rainf_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilMoi00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilTemp00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg
Agusan del Norte,2013-08-01,0.20038913,15058.003,14698.946000000002,4947.5547,0.016109021,0.00013653438,0.42850098,297.03122,297.96387000000004,2.7765741000000004
Agusan del Norte,2013-09-01,0.035698228,15096.716,14724.151000000002,4180.831,0.01616688,4.4953307e-05,0.4079868,297.7233,298.63662999999997,2.8732168999999996
Agusan del Norte,2013-10-01,0.12625818,15138.597,14712.152,4651.607,0.01642575,8.242226000000001e-05,0.4072052,297.30948,297.9631,3.7048389999999998
Agusan del Norte,2013-11-01,0.23232642,15012.871000000001,14709.877,5000.0474,0.01703594,0.00016822381999999998,0.42463505,297.09946,297.53542999999996,4.0530405
Agusan del Norte,2013-12-01,0.13166496,14995.901000000002,14700.466999999999,4208.5176,0.017219968000000002,0.0001110903,0.42080352,297.53432999999995,297.7804,3.7123957
Agusan del Norte,2014-01-01,0.56287485,14796.142,14599.448,2693.515,0.016456986,0.00033964227999999994,0.43522465,296.14255,296.44104,5.289532
Agusan del Norte,2014-02-01,0.10642391400000001,14957.249,14689.232,4566.494000000001,0.015542013,0.00012289912,0.41701284,296.4225,296.61624,4.320602
Agusan del Norte,2014-03-01,0.23785266,15034.258999999998,14702.5625,4716.6206,0.016287228,0.0002357664,0.40965605,296.9615,297.1335,4.45195
Agusan del Norte,2014-04-01,0.06686289999999999,15052.563,14754.166000000001,5013.0845,0.01678188,8.142754e-05,0.41567650000000006,297.70953,298.1608,3.500357
Agusan del Norte,2014-05-01,0.068623886,15075.88,14776.567,4439.49,0.017247597,4.3047938e-05,0.3791957,298.76352,298.98007,3.2016122000000005
Agusan del Norte,2014-06-01,0.11119104,15091.698999999999,14764.87,5025.7925,0.016988622,7.4111296e-05,0.39442813,298.11606,298.96837999999997,2.3370066
Agusan del Norte,2014-07-01,0.11365719,15029.708999999999,14638.918,4423.9575,0.016396997,0.00010422687,0.41892636,297.13675,298.25278,3.4294135999999997
Agusan del Norte,2014-08-01,0.07442338,15090.636,14756.221000000001,4814.6724,0.016223175,5.0819188000000003e-05,0.40778342,297.61217999999997,298.64727999999997,1.8497537
Agusan del Norte,2014-09-01,0.14918758,15094.624,14567.568000000001,4557.162,0.016256358000000002,8.277196e-05,0.41751289999999996,297.14847000000003,298.14052999999996,2.8522012
Agusan del Norte,2014-10-01,0.10359446,15084.315,14719.388,4497.768,0.016637366,8.304648000000001e-05,0.4114968,297.5222,298.3406,3.100502
Agusan del Norte,2014-11-01,0.157674,15038.823999999999,14705.578000000001,4545.4890000000005,0.017086593,9.96126e-05,0.41754854,297.49716,298.0023,3.3107492999999995
Agusan del Norte,2014-12-01,0.35525078,15022.507,14719.115,4410.4136,0.01726237,0.0002935489,0.4321798,297.05002,297.55422999999996,4.2973685
Agusan del Norte,2015-01-01,0.30676502,14983.455,14684.658000000001,4222.8745,0.016456427,0.00026568622000000005,0.42975209999999997,296.76,297.03635,4.2502894
Agusan del Norte,2015-02-01,0.079585806,14967.933,14666.393999999998,4985.9917,0.015036143,7.630328000000001e-05,0.39773990000000004,296.5199,296.32178,4.41573
Agusan del Norte,2015-03-01,0.03933626,15048.733999999999,14684.837,5157.3027,0.014802876000000001,3.1863559999999995e-05,0.3344232,297.03262,296.80045,4.194337
Agusan del Norte,2015-04-01,0.040086314,15101.434,14730.171,4723.9634,0.016020505,3.4138462e-05,0.32031152,298.76953,298.05765,3.5613262999999997
Agusan del Norte,2015-05-01,0.047343854000000005,15165.798,14774.645,4727.964,0.016147977,2.3179677999999997e-05,0.30229053,299.63632,299.085,2.6523368
Agusan del Norte,2015-06-01,0.16970465,15129.4795,14686.323999999999,4102.577,0.016496195,0.000116729236,0.3587843,298.2181,298.43744,2.7030666
Agusan del Norte,2015-07-01,0.07821373,15119.47,14733.33,4811.3022,0.01617683,4.51417e-05,0.3611257,298.01645,298.76193,2.5352526
Agusan del Norte,2015-08-01,0.07679906,15110.742,14747.531,4875.4263,0.016298337,6.0709426e-05,0.37690458,298.19147000000004,298.8162,2.6419213
Agusan del Norte,2015-09-01,0.13999727,15090.383,14670.503,4955.732,0.01655299,6.629081e-05,0.38188422,297.949,298.4995,2.666586
Agusan del Norte,2015-10-01,0.07544221,15116.737,14766.159,5082.3726,0.016416073,4.0373965e-05,0.37057233,298.5214,298.84467,3.0686715
Agusan del Norte,2015-11-01,0.23492399999999997,14991.872,14682.373,4693.2065,0.017170368000000002,9.73981e-05,0.38714418,298.1554,298.0516,3.7867508
Agusan del Norte,2015-12-01,0.18313478,14962.257,14710.4375,4512.1284,0.016785167,0.00012863391,0.39849445,297.83066,297.62094,4.0377517
Agusan del Norte,2016-01-01,0.052255042,14997.673999999999,14709.862,5257.884,0.015734289,3.399672e-05,0.37241554,297.36105,297.03833,4.4140553
Agusan del Norte,2016-02-01,0.09808292,15007.88,14692.687,5131.401,0.015903538000000002,5.4569419999999994e-05,0.35976090000000005,297.5572,297.00882,4.686957
Agusan del Norte,2016-03-01,0.012715464,15085.691,14730.56,4801.139,0.015539568,1.44156775e-05,0.30287559999999997,298.2961,297.33374,3.903258
Agusan del Norte,2016-04-01,0.037705597,15159.646999999999,14762.105,5070.112,0.016364673,3.0884938000000004e-05,0.28570476,299.62487999999996,298.31552,3.8617637000000005
Agusan del Norte,2016-05-01,0.10228118,15082.761999999999,14709.02,4724.106,0.017524013,5.9082130000000003e-05,0.31106952,299.75177,298.8727,3.4530928
Agusan del Norte,2016-06-01,0.21556208,15100.532,14709.874,4763.776,0.01671145,8.744022499999998e-05,0.37067127,298.62265,298.89267,2.4165487
Agusan del Norte,2016-07-01,0.21082173,15042.552,14731.6455,5118.8154,0.01618697,0.000114965216,0.39663127,297.9396,298.61166000000003,2.6463327000000003
Agusan del Norte,2016-08-01,0.058497492000000005,15135.124,14668.636999999999,5310.4473,0.016413702,5.678194e-05,0.38983345,298.06723,299.04092,2.9496097999999997
